year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2016,Northern Illinois,Mid-American,West,12,5,7,0,8,5,3,0,5,2,3,0,6,3,3,0
2016,North Texas,Conference USA,West,13,5,8,0,8,3,5,0,6,3,3,0,6,2,4,0
2016,Northwestern,Big Ten,West,13,7,6,0,9,5,4,0,7,3,4,0,5,3,2,0
2016,Notre Dame,FBS Independents,,12,4,8,0,0,0,0,0,6,2,4,0,3,0,3,0
2016,Ohio,Mid-American,East,14,8,6,0,9,6,3,0,6,4,2,0,6,4,2,0
2016,Ohio State,Big Ten,East,13,11,2,0,9,8,1,0,7,7,0,0,5,4,1,0
2016,Oklahoma,Big 12,,13,11,2,0,9,9,0,0,6,5,1,0,4,4,0,0
2016,Oklahoma State,Big 12,,13,10,3,0,9,7,2,0,7,6,1,0,5,3,2,0
2016,Old Dominion,Conference USA,East,13,10,3,0,8,7,1,0,6,6,0,0,6,3,3,0
2016,Ole Miss,SEC,West,12,5,7,0,8,2,6,0,7,4,3,0,4,1,3,0
2016,Oregon,Pac-12,North,12,4,8,0,9,2,7,0,6,3,3,0,6,1,5,0
2016,Oregon State,Pac-12,North,12,4,8,0,9,3,6,0,7,4,3,0,5,0,5,0
2016,Penn State,Big Ten,East,14,11,3,0,10,9,1,0,7,7,0,0,5,3,2,0
2016,Pittsburgh,ACC,Coastal,13,8,5,0,8,5,3,0,7,6,1,0,5,2,3,0
2016,Purdue,Big Ten,West,12,3,9,0,9,1,8,0,7,2,5,0,5,1,4,0
2016,Rice,Conference USA,West,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2016,Rutgers,Big Ten,East,12,2,10,0,9,0,9,0,7,2,5,0,5,0,5,0
2016,San Diego State,Mountain West,West,14,11,3,0,9,7,2,0,6,5,1,0,7,5,2,0
2016,San José State,Mountain West,West,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
2016,SMU,American Athletic,West,12,5,7,0,8,3,5,0,6,2,4,0,6,3,3,0
2016,South Alabama,Sun Belt,,13,6,7,0,8,2,6,0,7,5,2,0,5,1,4,0
2016,South Carolina,SEC,East,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
2016,Southern Mississippi,Conference USA,West,13,7,6,0,8,4,4,0,6,4,2,0,6,2,4,0
2016,South Florida,American Athletic,East,13,11,2,0,8,7,1,0,7,6,1,0,5,4,1,0
2016,Stanford,Pac-12,North,13,10,3,0,9,6,3,0,6,4,2,0,6,5,1,0
2016,Syracuse,ACC,Atlantic,12,4,8,0,8,2,6,0,6,2,4,0,5,2,3,0
2016,TCU,Big 12,,13,6,7,0,9,4,5,0,7,2,5,0,5,4,1,0
2016,Temple,American Athletic,East,14,10,4,0,9,8,1,0,7,6,1,0,6,4,2,0
2016,Tennessee,SEC,East,13,9,4,0,8,4,4,0,7,6,1,0,4,1,3,0
2016,Texas,Big 12,,12,5,7,0,9,3,6,0,6,4,2,0,5,1,4,0
2016,Texas A&M,SEC,West,13,8,5,0,8,4,4,0,7,5,2,0,4,2,2,0
2016,Texas State,Sun Belt,,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
2016,Texas Tech,Big 12,,12,5,7,0,9,3,6,0,6,3,3,0,5,1,4,0
2016,Toledo,Mid-American,West,13,9,4,0,8,6,2,0,6,5,1,0,5,3,2,0
2016,Troy,Sun Belt,,13,10,3,0,8,6,2,0,6,5,1,0,6,4,2,0
2016,Tulane,American Athletic,West,12,4,8,0,8,1,7,0,6,2,4,0,6,2,4,0
2016,Tulsa,American Athletic,West,13,10,3,0,8,6,2,0,6,6,0,0,6,3,3,0
2016,UCF,American Athletic,East,13,6,7,0,8,4,4,0,7,3,4,0,6,3,3,0
2016,UCLA,Pac-12,South,12,4,8,0,9,2,7,0,6,3,3,0,6,1,5,0
2016,UMass,FBS Independents,,12,2,10,0,0,0,0,0,6,2,4,0,6,0,6,0
2016,UNLV,Mountain West,West,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
2016,USC,Pac-12,South,13,10,3,0,9,7,2,0,6,6,0,0,5,3,2,0
2016,Utah,Pac-12,South,13,9,4,0,9,5,4,0,6,4,2,0,6,4,2,0
2016,Utah State,Mountain West,Mountain,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
2016,UTEP,Conference USA,West,12,4,8,0,8,2,6,0,7,3,4,0,5,1,4,0
2016,UT San Antonio,Conference USA,West,13,6,7,0,8,5,3,0,6,4,2,0,6,2,4,0
2016,Vanderbilt,SEC,East,13,6,7,0,8,3,5,0,6,4,2,0,6,2,4,0
2016,Virginia,ACC,Coastal,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0
2016,Virginia Tech,ACC,Coastal,14,10,4,0,9,6,3,0,6,5,1,0,5,4,1,0
2016,Wake Forest,ACC,Atlantic,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2016,Washington,Pac-12,North,14,12,2,0,10,9,1,0,7,6,1,0,5,5,0,0
2016,Washington State,Pac-12,North,13,8,5,0,9,7,2,0,7,5,2,0,5,3,2,0
2016,Western Kentucky,Conference USA,East,14,11,3,0,9,8,1,0,7,6,1,0,6,4,2,0
2016,Western Michigan,Mid-American,West,14,13,1,0,9,9,0,0,6,6,0,0,6,6,0,0
2016,West Virginia,Big 12,,13,10,3,0,9,7,2,0,7,6,1,0,4,3,1,0
2016,Wisconsin,Big Ten,West,14,11,3,0,10,7,3,0,6,5,1,0,5,4,1,0
2016,Wyoming,Mountain West,Mountain,14,8,6,0,9,6,3,0,7,6,1,0,6,2,4,0
2015,Air Force,Mountain West,Mountain,14,8,6,0,9,6,3,0,6,6,0,0,7,2,5,0
2015,Akron,Mid-American,East,13,8,5,0,8,5,3,0,6,3,3,0,6,4,2,0
2015,Alabama,SEC,West,15,14,1,0,9,8,1,0,7,6,1,0,4,4,0,0
2015,Appalachian State,Sun Belt,,13,11,2,0,8,7,1,0,6,5,1,0,6,5,1,0
2015,Arizona,Pac-12,South,13,7,6,0,9,3,6,0,6,4,2,0,6,2,4,0
2015,Arizona State,Pac-12,South,13,6,7,0,9,4,5,0,7,5,2,0,4,1,3,0
2015,Arkansas,SEC,West,13,8,5,0,8,5,3,0,7,4,3,0,4,3,1,0
2015,Arkansas State,Sun Belt,,13,9,4,0,8,8,0,0,6,5,1,0,6,4,2,0
2015,Army,FBS Independents,,12,2,10,0,0,0,0,0,6,1,5,0,5,1,4,0
2015,Auburn,SEC,West,13,7,6,0,8,2,6,0,7,3,4,0,4,2,2,0
2015,Ball State,Mid-American,West,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2015,Baylor,Big 12,,13,10,3,0,9,6,3,0,6,4,2,0,5,4,1,0
2015,Boise State,Mountain West,Mountain,13,9,4,0,8,5,3,0,6,4,2,0,6,4,2,0
2015,Boston College,ACC,Atlantic,12,3,9,0,8,0,8,0,7,3,4,0,4,0,4,0
2015,Bowling Green,Mid-American,East,14,10,4,0,9,8,1,0,5,3,2,0,6,6,0,0
2015,Buffalo,Mid-American,East,12,5,7,0,8,3,5,0,6,2,4,0,6,3,3,0
2015,BYU,FBS Independents,,13,9,4,0,0,0,0,0,6,6,0,0,5,3,2,0
2015,California,Pac-12,North,13,8,5,0,9,4,5,0,6,5,1,0,6,2,4,0
2015,Central Michigan,Mid-American,West,13,7,6,0,8,6,2,0,6,4,2,0,6,3,3,0
2015,Charlotte,Conference USA,East,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
2015,Cincinnati,American Athletic,East,13,7,6,0,8,4,4,0,6,5,1,0,6,2,4,0
2015,Clemson,ACC,Atlantic,15,14,1,0,9,9,0,0,7,7,0,0,5,5,0,0
2015,Colorado,Pac-12,South,13,4,9,0,9,1,8,0,6,2,4,0,6,1,5,0
2015,Colorado State,Mountain West,Mountain,13,7,6,0,9,5,4,0,6,3,3,0,5,4,1,0
2015,Connecticut,American Athletic,East,13,6,7,0,8,4,4,0,6,4,2,0,6,2,4,0
2015,Duke,ACC,Coastal,13,8,5,0,8,4,4,0,6,3,3,0,6,4,2,0
2015,East Carolina,American Athletic,East,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2015,Eastern Michigan,Mid-American,West,12,1,11,0,8,0,8,0,6,0,6,0,6,1,5,0
2015,Florida,SEC,East,14,10,4,0,9,7,2,0,7,6,1,0,4,3,1,0
2015,Florida Atlantic,Conference USA,East,12,3,9,0,8,3,5,0,6,1,5,0,6,2,4,0
2015,Florida International,Conference USA,East,12,5,7,0,8,3,5,0,5,4,1,0,7,1,6,0
2015,Florida State,ACC,Atlantic,13,10,3,0,8,6,2,0,7,7,0,0,5,3,2,0
2015,Fresno State,Mountain West,West,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2015,Georgia,SEC,East,13,10,3,0,8,5,3,0,7,6,1,0,4,3,1,0
2015,Georgia Southern,Sun Belt,,13,9,4,0,8,6,2,0,6,5,1,0,6,3,3,0
2015,Georgia State,Sun Belt,,13,6,7,0,8,5,3,0,6,2,4,0,6,4,2,0
2015,Georgia Tech,ACC,Coastal,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0
2015,Hawai'i,Mountain West,West,13,3,10,0,8,0,8,0,7,3,4,0,6,0,6,0
2015,Houston,American Athletic,West,14,13,1,0,9,8,1,0,8,8,0,0,5,4,1,0
2015,Idaho,Sun Belt,,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
2015,Illinois,Big Ten,West,12,5,7,0,8,2,6,0,6,4,2,0,5,1,4,0
2015,Indiana,Big Ten,East,13,6,7,0,8,2,6,0,7,3,4,0,5,3,2,0
2015,Iowa,Big Ten,West,14,12,2,0,9,8,1,0,7,7,0,0,5,5,0,0
2015,Iowa State,Big 12,,12,3,9,0,9,2,7,0,6,3,3,0,6,0,6,0
2015,Kansas,Big 12,,12,0,12,0,9,0,9,0,7,0,7,0,5,0,5,0
2015,Kansas State,Big 12,,13,6,7,0,9,3,6,0,7,4,3,0,5,2,3,0
2015,Kent State,Mid-American,East,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2015,Kentucky,SEC,East,12,5,7,0,8,2,6,0,8,4,4,0,4,1,3,0
2015,Louisiana,Sun Belt,,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
2015,Louisiana Monroe,Sun Belt,,13,2,11,0,8,1,7,0,5,2,3,0,8,0,8,0
2015,Louisiana Tech,Conference USA,West,13,9,4,0,8,6,2,0,6,5,1,0,6,3,3,0
2015,Louisville,ACC,Atlantic,13,8,5,0,8,5,3,0,6,4,2,0,5,3,2,0
2015,LSU,SEC,West,12,9,3,0,8,5,3,0,7,6,1,0,4,2,2,0
2015,Marshall,Conference USA,East,13,10,3,0,8,6,2,0,6,6,0,0,6,3,3,0
2015,Maryland,Big Ten,East,12,3,9,0,8,1,7,0,6,2,4,0,5,1,4,0
2015,Memphis,American Athletic,West,13,9,4,0,8,5,3,0,6,5,1,0,6,4,2,0
2015,Miami,ACC,Coastal,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0
2015,Miami (OH),Mid-American,East,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2015,Michigan,Big Ten,East,13,10,3,0,8,6,2,0,7,5,2,0,5,4,1,0
2015,Michigan State,Big Ten,East,14,12,2,0,9,8,1,0,7,7,0,0,5,4,1,0
2015,Middle Tennessee,Conference USA,East,13,7,6,0,8,6,2,0,6,5,1,0,6,2,4,0
2015,Minnesota,Big Ten,West,13,6,7,0,8,2,6,0,7,3,4,0,5,2,3,0
2015,Mississippi State,SEC,West,13,9,4,0,8,4,4,0,7,4,3,0,5,4,1,0
2015,Missouri,SEC,East,12,5,7,0,8,1,7,0,6,3,3,0,5,1,4,0
2015,Navy,American Athletic,West,13,11,2,0,8,7,1,0,6,6,0,0,5,3,2,0
2015,NC State,ACC,Atlantic,13,7,6,0,8,3,5,0,6,3,3,0,6,4,2,0
2015,Nebraska,Big Ten,West,13,6,7,0,8,3,5,0,7,3,4,0,5,2,3,0
2015,Nevada,Mountain West,West,13,7,6,0,9,5,4,0,6,4,2,0,6,2,4,0
2015,New Mexico,Mountain West,Mountain,13,7,6,0,8,5,3,0,7,5,2,0,5,2,3,0
2015,New Mexico State,Sun Belt,,12,3,9,0,8,3,5,0,5,1,4,0,7,2,5,0
2015,North Carolina,ACC,Coastal,14,11,3,0,9,8,1,0,7,7,0,0,4,4,0,0
2015,Northern Illinois,Mid-American,West,14,8,6,0,9,6,3,0,6,5,1,0,6,3,3,0
2015,North Texas,Conference USA,West,12,1,11,0,8,1,7,0,5,1,4,0,7,0,7,0
2015,Northwestern,Big Ten,West,13,10,3,0,8,6,2,0,7,6,1,0,4,3,1,0
2015,Notre Dame,FBS Independents,,13,10,3,0,0,0,0,0,6,6,0,0,5,3,2,0
2015,Ohio,Mid-American,East,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0
2015,Ohio State,Big Ten,East,13,12,1,0,8,7,1,0,7,6,1,0,5,5,0,0
2015,Oklahoma,Big 12,,13,11,2,0,9,8,1,0,6,6,0,0,5,5,0,0
2015,Oklahoma State,Big 12,,13,10,3,0,9,7,2,0,7,5,2,0,5,5,0,0
2015,Old Dominion,Conference USA,East,12,5,7,0,8,3,5,0,7,3,4,0,5,2,3,0
2015,Ole Miss,SEC,West,13,10,3,0,8,6,2,0,7,6,1,0,5,3,2,0
2015,Oregon,Pac-12,North,13,9,4,0,9,7,2,0,7,5,2,0,5,4,1,0
2015,Oregon State,Pac-12,North,12,2,10,0,9,0,9,0,6,2,4,0,6,0,6,0
2015,Penn State,Big Ten,East,13,7,6,0,8,4,4,0,7,6,1,0,4,0,4,0
2015,Pittsburgh,ACC,Coastal,13,8,5,0,8,6,2,0,6,3,3,0,6,5,1,0
2015,Purdue,Big Ten,West,12,2,10,0,8,1,7,0,7,2,5,0,5,0,5,0
2015,Rice,Conference USA,West,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2015,Rutgers,Big Ten,East,12,4,8,0,8,1,7,0,7,2,5,0,5,2,3,0
2015,San Diego State,Mountain West,West,14,11,3,0,9,9,0,0,7,6,1,0,6,4,2,0
2015,San José State,Mountain West,West,13,6,7,0,8,4,4,0,6,3,3,0,6,2,4,0
2015,SMU,American Athletic,West,12,2,10,0,8,1,7,0,7,2,5,0,5,0,5,0
2015,South Alabama,Sun Belt,,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2015,South Carolina,SEC,East,12,3,9,0,8,1,7,0,6,2,4,0,5,0,5,0
2015,Southern Mississippi,Conference USA,West,14,9,5,0,9,7,2,0,6,5,1,0,7,4,3,0
2015,South Florida,American Athletic,East,13,8,5,0,8,6,2,0,6,5,1,0,6,3,3,0
2015,Stanford,Pac-12,North,14,12,2,0,10,9,1,0,7,6,1,0,5,4,1,0
2015,Syracuse,ACC,Atlantic,12,4,8,0,8,2,6,0,7,4,3,0,5,0,5,0
2015,TCU,Big 12,,13,11,2,0,9,7,2,0,6,6,0,0,6,4,2,0
2015,Temple,American Athletic,East,14,10,4,0,9,7,2,0,6,5,1,0,7,5,2,0
2015,Tennessee,SEC,East,13,9,4,0,8,5,3,0,7,5,2,0,4,2,2,0
2015,Texas,Big 12,,12,5,7,0,9,4,5,0,6,3,3,0,5,1,4,0
2015,Texas A&M,SEC,West,13,8,5,0,8,4,4,0,7,5,2,0,3,1,2,0
2015,Texas State,Sun Belt,,12,3,9,0,8,2,6,0,6,3,3,0,6,0,6,0
2015,Texas Tech,Big 12,,13,7,6,0,9,4,5,0,6,4,2,0,5,3,2,0
2015,Toledo,Mid-American,West,12,10,2,0,8,6,2,0,6,4,2,0,5,5,0,0
2015,Troy,Sun Belt,,12,4,8,0,8,3,5,0,5,2,3,0,7,2,5,0
2015,Tulane,American Athletic,West,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
2015,Tulsa,American Athletic,West,13,6,7,0,8,3,5,0,6,3,3,0,6,3,3,0
2015,UCF,American Athletic,East,12,0,12,0,8,0,8,0,6,0,6,0,6,0,6,0
2015,UCLA,Pac-12,South,13,8,5,0,9,5,4,0,6,4,2,0,6,4,2,0
2015,UMass,Mid-American,East,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2015,UNLV,Mountain West,West,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2015,USC,Pac-12,South,14,8,6,0,10,6,4,0,7,5,2,0,5,3,2,0
2015,Utah,Pac-12,South,13,10,3,0,9,6,3,0,7,6,1,0,5,3,2,0
2015,Utah State,Mountain West,Mountain,13,6,7,0,8,5,3,0,6,5,1,0,6,1,5,0
2015,UTEP,Conference USA,West,12,5,7,0,8,3,5,0,5,3,2,0,7,2,5,0
2015,UT San Antonio,Conference USA,West,12,3,9,0,8,3,5,0,6,1,5,0,6,2,4,0
2015,Vanderbilt,SEC,East,12,4,8,0,8,2,6,0,6,3,3,0,6,1,5,0
2015,Virginia,ACC,Coastal,12,4,8,0,8,3,5,0,7,4,3,0,5,0,5,0
2015,Virginia Tech,ACC,Coastal,13,7,6,0,8,4,4,0,6,2,4,0,6,4,2,0
2015,Wake Forest,ACC,Atlantic,12,3,9,0,8,1,7,0,6,1,5,0,6,2,4,0
2015,Washington,Pac-12,North,13,7,6,0,9,4,5,0,7,4,3,0,5,2,3,0
2015,Washington State,Pac-12,North,13,9,4,0,9,6,3,0,6,4,2,0,6,4,2,0
2015,Western Kentucky,Conference USA,East,14,12,2,0,9,9,0,0,6,6,0,0,7,5,2,0
2015,Western Michigan,Mid-American,West,13,8,5,0,8,6,2,0,6,4,2,0,6,3,3,0
2015,West Virginia,Big 12,,13,8,5,0,9,4,5,0,7,6,1,0,5,1,4,0
2015,Wisconsin,Big Ten,West,13,10,3,0,8,6,2,0,7,5,2,0,4,4,0,0
2015,Wyoming,Mountain West,Mountain,12,2,10,0,8,2,6,0,6,2,4,0,6,0,6,0
2014,Air Force,Mountain West,Mountain,13,10,3,0,8,5,3,0,6,6,0,0,6,3,3,0
2014,Akron,Mid-American,East,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2014,Alabama,SEC,West,14,12,2,0,9,8,1,0,7,7,0,0,4,3,1,0
2014,Appalachian State,Sun Belt,,12,7,5,0,8,6,2,0,6,4,2,0,6,3,3,0
2014,Arizona,Pac-12,South,14,10,4,0,10,7,3,0,7,6,1,0,5,4,1,0
2014,Arizona State,Pac-12,South,13,10,3,0,9,6,3,0,6,5,1,0,6,4,2,0
2014,Arkansas,SEC,West,13,7,6,0,8,2,6,0,7,5,2,0,4,1,3,0
2014,Arkansas State,Sun Belt,,13,7,6,0,8,5,3,0,6,5,1,0,6,2,4,0
2014,Army,FBS Independents,,12,4,8,0,0,0,0,0,5,3,2,0,5,0,5,0
2014,Auburn,SEC,West,13,8,5,0,8,4,4,0,7,6,1,0,5,2,3,0
2014,Ball State,Mid-American,West,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
2014,Baylor,Big 12,,13,11,2,0,9,8,1,0,6,6,0,0,5,4,1,0
2014,Boise State,Mountain West,Mountain,14,12,2,0,9,8,1,0,7,7,0,0,5,4,1,0
2014,Boston College,ACC,Atlantic,13,7,6,0,8,4,4,0,7,3,4,0,5,4,1,0
2014,Bowling Green,Mid-American,East,14,8,6,0,9,5,4,0,6,4,2,0,6,3,3,0
2014,Buffalo,Mid-American,East,11,5,6,0,7,3,4,0,6,4,2,0,5,1,4,0
2014,BYU,FBS Independents,,13,8,5,0,0,0,0,0,6,4,2,0,6,4,2,0
2014,California,Pac-12,North,12,5,7,0,9,3,6,0,7,2,5,0,5,3,2,0
2014,Central Michigan,Mid-American,West,13,7,6,0,8,5,3,0,6,3,3,0,6,4,2,0
2014,Cincinnati,American Athletic,,13,9,4,0,8,7,1,0,6,5,1,0,6,4,2,0
2014,Clemson,ACC,Atlantic,13,10,3,0,8,6,2,0,7,7,0,0,5,2,3,0
2014,Colorado,Pac-12,South,12,2,10,0,9,0,9,0,6,1,5,0,5,1,4,0
2014,Colorado State,Mountain West,Mountain,13,10,3,0,8,6,2,0,6,6,0,0,5,3,2,0
2014,Connecticut,American Athletic,,12,2,10,0,8,1,7,0,7,2,5,0,4,0,4,0
2014,Duke,ACC,Coastal,13,9,4,0,8,5,3,0,7,5,2,0,5,4,1,0
2014,East Carolina,American Athletic,,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0
2014,Eastern Michigan,Mid-American,West,12,2,10,0,8,1,7,0,5,2,3,0,7,0,7,0
2014,Florida,SEC,East,12,7,5,0,8,4,4,0,6,3,3,0,4,2,2,0
2014,Florida Atlantic,Conference USA,East,12,3,9,0,8,2,6,0,5,3,2,0,7,0,7,0
2014,Florida International,Conference USA,East,12,4,8,0,8,3,5,0,8,3,5,0,4,1,3,0
2014,Florida State,ACC,Atlantic,14,13,1,0,9,9,0,0,7,7,0,0,4,4,0,0
2014,Fresno State,Mountain West,West,14,6,8,0,9,5,4,0,6,4,2,0,7,2,5,0
2014,Georgia,SEC,East,13,10,3,0,8,6,2,0,7,6,1,0,4,3,1,0
2014,Georgia Southern,Sun Belt,,12,9,3,0,8,8,0,0,5,5,0,0,7,4,3,0
2014,Georgia State,Sun Belt,,12,1,11,0,8,0,8,0,6,1,5,0,6,0,6,0
2014,Georgia Tech,ACC,Coastal,14,11,3,0,9,6,3,0,6,5,1,0,6,5,1,0
2014,Hawai'i,Mountain West,West,13,4,9,0,8,3,5,0,7,3,4,0,6,1,5,0
2014,Houston,American Athletic,,13,8,5,0,8,5,3,0,7,4,3,0,5,3,2,0
2014,Idaho,Sun Belt,,11,1,10,0,8,1,7,0,5,1,4,0,6,0,6,0
2014,Illinois,Big Ten,West,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
2014,Indiana,Big Ten,East,12,4,8,0,8,1,7,0,6,3,3,0,6,1,5,0
2014,Iowa,Big Ten,West,13,7,6,0,8,4,4,0,7,4,3,0,5,3,2,0
2014,Iowa State,Big 12,,12,2,10,0,9,0,9,0,7,1,6,0,5,1,4,0
2014,Kansas,Big 12,,12,3,9,0,9,1,8,0,6,3,3,0,6,0,6,0
2014,Kansas State,Big 12,,13,9,4,0,9,7,2,0,7,6,1,0,5,3,2,0
2014,Kent State,Mid-American,East,11,2,9,0,7,1,6,0,6,2,4,0,5,0,5,0
2014,Kentucky,SEC,East,12,5,7,0,8,2,6,0,7,5,2,0,5,0,5,0
2014,Louisiana,Sun Belt,,13,9,4,0,8,7,1,0,6,4,2,0,6,4,2,0
2014,Louisiana Monroe,Sun Belt,,12,4,8,0,8,3,5,0,5,3,2,0,7,1,6,0
2014,Louisiana Tech,Conference USA,West,14,9,5,0,9,7,2,0,5,4,1,0,8,4,4,0
2014,Louisville,ACC,Atlantic,13,9,4,0,8,5,3,0,6,5,1,0,6,4,2,0
2014,LSU,SEC,West,13,8,5,0,8,4,4,0,7,5,2,0,4,2,2,0
2014,Marshall,Conference USA,East,14,13,1,0,9,8,1,0,7,6,1,0,6,6,0,0
2014,Maryland,Big Ten,East,13,7,6,0,8,4,4,0,6,2,4,0,6,5,1,0
2014,Memphis,American Athletic,,13,10,3,0,8,7,1,0,6,5,1,0,6,4,2,0
2014,Miami,ACC,Coastal,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
2014,Miami (OH),Mid-American,East,12,2,10,0,8,2,6,0,6,2,4,0,6,0,6,0
2014,Michigan,Big Ten,East,12,5,7,0,8,3,5,0,7,4,3,0,5,1,4,0
2014,Michigan State,Big Ten,East,13,11,2,0,8,7,1,0,7,6,1,0,5,4,1,0
2014,Middle Tennessee,Conference USA,East,12,6,6,0,8,5,3,0,6,5,1,0,6,1,5,0
2014,Minnesota,Big Ten,West,13,8,5,0,8,5,3,0,7,6,1,0,5,2,3,0
2014,Mississippi State,SEC,West,13,10,3,0,8,6,2,0,7,7,0,0,5,3,2,0
2014,Missouri,SEC,East,14,11,3,0,9,7,2,0,7,5,2,0,5,5,0,0
2014,Navy,FBS Independents,,13,8,5,0,0,0,0,0,5,3,2,0,4,3,1,0
2014,NC State,ACC,Atlantic,13,8,5,0,8,3,5,0,7,4,3,0,5,3,2,0
2014,Nebraska,Big Ten,West,13,9,4,0,8,5,3,0,7,6,1,0,5,3,2,0
2014,Nevada,Mountain West,West,13,7,6,0,8,4,4,0,6,3,3,0,6,4,2,0
2014,New Mexico,Mountain West,Mountain,12,4,8,0,8,2,6,0,6,1,5,0,6,3,3,0
2014,New Mexico State,Sun Belt,,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0
2014,North Carolina,ACC,Coastal,13,6,7,0,8,4,4,0,6,4,2,0,6,2,4,0
2014,Northern Illinois,Mid-American,West,14,11,3,0,9,8,1,0,5,4,1,0,7,6,1,0
2014,North Texas,Conference USA,West,12,4,8,0,8,2,6,0,6,4,2,0,6,0,6,0
2014,Northwestern,Big Ten,West,12,5,7,0,8,3,5,0,7,2,5,0,5,3,2,0
2014,Notre Dame,FBS Independents,,13,8,5,0,0,0,0,0,6,4,2,0,3,0,3,0
2014,Ohio,Mid-American,East,12,6,6,0,8,4,4,0,6,4,2,0,6,2,4,0
2014,Ohio State,Big Ten,East,15,14,1,0,9,9,0,0,7,6,1,0,4,4,0,0
2014,Oklahoma,Big 12,,13,8,5,0,9,5,4,0,6,3,3,0,5,4,1,0
2014,Oklahoma State,Big 12,,13,7,6,0,9,4,5,0,6,4,2,0,5,2,3,0
2014,Old Dominion,Conference USA,East,12,6,6,0,8,4,4,0,6,4,2,0,6,2,4,0
2014,Ole Miss,SEC,West,13,9,4,0,8,5,3,0,7,6,1,0,4,2,2,0
2014,Oregon,Pac-12,North,15,13,2,0,10,9,1,0,7,6,1,0,5,5,0,0
2014,Oregon State,Pac-12,North,12,5,7,0,9,2,7,0,7,3,4,0,5,2,3,0
2014,Penn State,Big Ten,East,13,7,6,0,8,2,6,0,7,3,4,0,4,2,2,0
2014,Pittsburgh,ACC,Coastal,13,6,7,0,8,4,4,0,7,3,4,0,5,3,2,0
2014,Purdue,Big Ten,West,12,3,9,0,8,1,7,0,7,2,5,0,4,1,3,0
2014,Rice,Conference USA,West,13,8,5,0,8,5,3,0,5,4,1,0,7,3,4,0
2014,Rutgers,Big Ten,East,13,8,5,0,8,3,5,0,6,4,2,0,6,3,3,0
2014,San Diego State,Mountain West,West,13,7,6,0,8,5,3,0,6,6,0,0,6,1,5,0
2014,San José State,Mountain West,West,12,3,9,0,8,2,6,0,5,2,3,0,7,1,6,0
2014,SMU,American Athletic,,12,1,11,0,8,1,7,0,6,0,6,0,6,1,5,0
2014,South Alabama,Sun Belt,,13,6,7,0,8,5,3,0,6,3,3,0,6,3,3,0
2014,South Carolina,SEC,East,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2014,Southern Mississippi,Conference USA,West,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
2014,South Florida,American Athletic,,12,4,8,0,8,3,5,0,7,2,5,0,5,2,3,0
2014,Stanford,Pac-12,North,13,8,5,0,9,5,4,0,6,4,2,0,6,3,3,0
2014,Syracuse,ACC,Atlantic,12,3,9,0,8,1,7,0,6,1,5,0,5,2,3,0
2014,TCU,Big 12,,13,12,1,0,9,8,1,0,7,7,0,0,5,4,1,0
2014,Temple,American Athletic,,12,6,6,0,8,4,4,0,6,3,3,0,6,3,3,0
2014,Tennessee,SEC,East,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2014,Texas,Big 12,,13,6,7,0,9,5,4,0,6,3,3,0,4,3,1,0
